Country,Political province/region,County,Mining area,Mining site,Add. information on mine,Latitude,Longitude,Location precision,Tectonic/geolog. super unit,Tectonic/geolog. unit,Tectonic/geolog. subunit,Deposit type,Metals,Minerals,Sample number,Geol. period,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,206Pb/207Pb,208Pb/207Pb,204Pb/206Pb,207Pb/206Pb,208Pb/206Pb,Model_Age_SK75,mu_SK75,kappa_SK75,Model_Age_CR75,mu_CR75,kappa_CR75,Model_Age_AJ84,mu_AJ84,kappa_AJ84,Model_Age_ADB12,mu_ADB12,kappa_ADB12,Instrument used,year,doi,Reference,Note
Greece [Ελλάς],Macedonia and Thrace [Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης],Chalkidiki Regional Unit [Περιφερειακή Ενότητα Χαλκιδικής],Chalkidiki,Skouries,old adit; dump; disseminated; late propylitic alteration,40.472898,23.703294,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Porphyry copper,Cu,pyrite,SK-G1,Miocene,18.778,15.703,39.032,1.19582245430809,2.48563968668407,0.053253807647247,0.836244541484716,2.07860262008734,98.384,10.035,3.966,23.214,10.731,3.841,124.18,9.936,3.995,,,,TIMS,1992,10.2113/gsecongeo.90.4.746,"Frei, R., 1995, Evolution of mineralizing fluid in the porphyry copper system of the Skouries Deposit, Northeast Chalkidiki (Greece); evidence from combined Pb-Sr and stable isotope data, Economic Geology, 90(4), 746–62.",
Greece [Ελλάς],Macedonia and Thrace [Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης],Chalkidiki Regional Unit [Περιφερειακή Ενότητα Χαλκιδικής],Chalkidiki,Skouries,Drill core; disseminated; late propylitic alteration,40.472898,23.703294,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Porphyry copper,Cu,chalcopyrite,SK1,Miocene,18.743,15.699,38.976,1.19389770049048,2.4827059048347,0.053353251880702,0.837592701275143,2.07949634530225,115.869,10.026,3.959,44.191,10.72,3.842,142.191,9.927,3.988,91.509,9.795,3.981,TIMS,1992,10.2113/gsecongeo.90.4.746,"Frei, R., 1995, Evolution of mineralizing fluid in the porphyry copper system of the Skouries Deposit, Northeast Chalkidiki (Greece); evidence from combined Pb-Sr and stable isotope data, Economic Geology, 90(4), 746–62.",
Greece [Ελλάς],Macedonia and Thrace [Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης],Chalkidiki Regional Unit [Περιφερειακή Ενότητα Χαλκιδικής],Chalkidiki,Skouries,Drill core; disseminated; late propylitic alteration,40.472898,23.703294,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Porphyry copper,Cu,chalcopyrite,SK1,Miocene,18.749,15.696,38.965,1.19450815494393,2.48247961264016,0.05333617792949,0.837164648781268,2.07824417302256,105.223,10.011,3.949,40.703,10.722,3.842,131.987,9.914,3.977,83.547,9.788,3.972,TIMS,1992,10.2113/gsecongeo.90.4.746,"Frei, R., 1995, Evolution of mineralizing fluid in the porphyry copper system of the Skouries Deposit, Northeast Chalkidiki (Greece); evidence from combined Pb-Sr and stable isotope data, Economic Geology, 90(4), 746–62.",
Greece [Ελλάς],Macedonia and Thrace [Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης],Chalkidiki Regional Unit [Περιφερειακή Ενότητα Χαλκιδικής],Chalkidiki,Skouries,drill core; vein; qz-sulfide-cc vein; porphyry,40.472898,23.703294,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Porphyry copper,Cu,chalcopyrite,SK3,Miocene,18.733,15.683,38.908,1.19447809730281,2.48090288847797,0.053381732771046,0.83718571504831,2.07697645865585,89.935,9.959,3.925,50.601,10.716,3.842,118.569,9.867,3.954,78.865,9.764,3.954,TIMS,1992,10.2113/gsecongeo.90.4.746,"Frei, R., 1995, Evolution of mineralizing fluid in the porphyry copper system of the Skouries Deposit, Northeast Chalkidiki (Greece); evidence from combined Pb-Sr and stable isotope data, Economic Geology, 90(4), 746–62.",
Greece [Ελλάς],Macedonia and Thrace [Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης],Chalkidiki Regional Unit [Περιφερειακή Ενότητα Χαλκιδικής],Chalkidiki,Skouries,Drill core; disseminated; late propylitic alteration,40.472898,23.703294,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Porphyry copper,Cu,chalcopyrite,SK3,Miocene,18.752,15.705,38.98,1.19401464501751,2.48201209805794,0.053327645051195,0.83751066552901,2.07871160409556,121.646,10.05,3.958,38.66,10.723,3.841,147.123,9.948,3.986,,,,TIMS,1992,10.2113/gsecongeo.90.4.746,"Frei, R., 1995, Evolution of mineralizing fluid in the porphyry copper system of the Skouries Deposit, Northeast Chalkidiki (Greece); evidence from combined Pb-Sr and stable isotope data, Economic Geology, 90(4), 746–62.",
Greece [Ελλάς],Macedonia and Thrace [Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης],Chalkidiki Regional Unit [Περιφερειακή Ενότητα Χαλκιδικής],Chalkidiki,Skouries,Drill core; disseminated; late propylitic alteration,40.472898,23.703294,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Porphyry copper,Cu,pyrite,SK8,Miocene,18.756,15.697,38.981,1.19487800216602,2.48334076575142,0.053316272126253,0.836905523565792,2.07832160375347,102.136,10.014,3.953,36.503,10.724,3.841,128.766,9.917,3.981,,,,TIMS,1992,10.2113/gsecongeo.90.4.746,"Frei, R., 1995, Evolution of mineralizing fluid in the porphyry copper system of the Skouries Deposit, Northeast Chalkidiki (Greece); evidence from combined Pb-Sr and stable isotope data, Economic Geology, 90(4), 746–62.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Paros Regional Unit [Περιφερειακή Ενότητα Πάρου],Antiparos,Agios Georgios,BG 214,36.982731,25.028503,Exact/neighbouring,,,Attic-Cycladic Massif,Veins,Pb; Zn; Cu; Ag,galena,SA 23a,Miocene,18.966,15.81271284,39.45819402,1.19941468563341,2.49534627101974,0.052725930612675,0.83374,2.08047,183.956,10.47,4.099,-92.514,10.793,3.835,195.172,10.324,4.123,,,,TIMS,1978,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Kea-Kythnos Regional Unit [Περιφερειακή Ενότητα Κέας - Κύθνου],Kythnos,Agios Dimitrios,BG 294; Southern end,37.306926,24.365266,Exact/neighbouring,,,Attic-Cycladic Massif,Magmatic-hydrothermal,Pb; Zn; Ag,galena,JK,,18.923,15.683761,38.97324,1.20653459134673,2.484942,0.05285,0.82882,2.05957,-50.269,9.924,3.837,-63.231,10.777,3.836,-21.413,9.835,3.867,,,,TIMS,1978,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Lesbos Regional Unit [Περιφερειακή Ενότητα Λέσβου],Lesbos,Argenos,,39.36503,26.247209,Place holder coordinates (6 km east of Mithimna; close to village of Argennos),,,Rhodope massif; Sakarya,Magmatic-hydrothermal veins,Pb; Zn; Ag,galena,TG 51,,18.6505863919092,15.712,39.0809982431983,1.18702815630787,2.48733440957219,0.053617617107943,0.84244,2.09543,210.055,10.104,4.08,98.666,10.69,3.844,234.425,9.997,4.107,172.602,9.829,4.08,TIMS,1978,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Milos Regional Unit [Περιφερειακή Ενότητα Μήλου],Milos,,BG 340,36.725161,24.444822,Place holder coordinates (central position on island),,,Attic-Cycladic Massif,Magmatic-hydrothermal,Pb; Ag,galena,IGMR; IGMR11; IGMR.?,Pliocene-Pleistocene,18.882,15.70094946,39.06138222,1.20260243166212,2.48783567640374,0.052960491473361,0.83153,2.06871,17.218,10.005,3.913,-39.011,10.764,3.838,43.44,9.908,3.942,,,,TIMS,1978,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Naxos Regional Unit [Περιφερειακή Ενότητα Νάξου],Naxos,From southwest of island,,36.987572,25.416378,Place holder coordinates (southwest Naxos),,,Attic-Cycladic Massif,,Pb; Ag,galena,491B; 491B published,,18.932,15.710342,39.10196,1.20506609787547,2.488931,0.052821,0.82983,2.06539,0.102,10.035,3.905,-69.355,10.781,3.836,24.998,9.935,3.933,,,,TIMS,1978,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Milos Regional Unit [Περιφερειακή Ενότητα Μήλου],Poliegos,Tris Panagias,NW shore dumps outside galleries; BG 370,36.785736,24.611127,Exact,,,Attic-Cycladic Massif,Magmatic-hydrothermal,Pb; Ag; Ba,galena,TG 45,,18.9104525978468,15.756,39.2972442300076,1.20020643550691,2.49411298743384,0.0528808073115,0.83319,2.07807,110.633,10.236,4.034,-57.582,10.774,3.837,129.149,10.115,4.059,,,,TIMS,1978,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Samos Regional Unit [Περιφερειακή Ενότητα Σάμου],Samos,Sikia,South shore; BG 381; BG 385; shaft,37.639908,26.806235,Neighbouring (village),,,,Carbonate hosted base metal sulphides,Pb; Zn; Ag,galena,TG 47; TG47 published,,17.833,15.611,37.875,1.14234798204229,2.426174,0.05608,0.87539,2.12386,611.827,9.887,3.95,573.73,10.435,3.869,647.586,9.809,3.982,623.826,9.733,3.979,TIMS,1978,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Milos Regional Unit [Περιφερειακή Ενότητα Μήλου],Seriphos,Moutoula; Moutoulas,Lower mine,37.186588,24.501629,Exact/neighbouring,,,Attic-Cycladic Massif,Skarn,Pb; Zn; Ag,galena,TG 52 A,Miocene,18.9424025802104,15.74,39.0865111801093,1.20345632656991,2.48325992249741,0.052791613722999,0.83094,2.06344,54.653,10.16,3.902,-76.402,10.785,3.836,75.339,10.047,3.93,,,,TIMS,1978,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Milos Regional Unit [Περιφερειακή Ενότητα Μήλου],Seriphos,Moutoula; Moutoulas,Lower mine,37.186588,24.501629,Exact/neighbouring,,,Attic-Cycladic Massif,Skarn,Pb; Zn; Ag,galena,TG 52 A/1; TG 52 A published,Miocene,18.871,15.658,38.857,1.20518228382043,2.481607,0.05299,0.82975,2.0591,-67.363,9.825,3.802,-31.245,10.76,3.838,-34.595,9.746,3.833,,,,TIMS,1978,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Milos Regional Unit [Περιφερειακή Ενότητα Μήλου],Seriphos,Moutoula; Moutoulas,BG 391,37.186588,24.501629,Exact/neighbouring,,,Attic-Cycladic Massif,Skarn,Pb; Zn; Ag,galena,TG 52 B,Miocene,18.8930493516501,15.692,38.9678589402458,1.20399243892748,2.48329460490988,0.052929518225848,0.83057,2.06255,-10.083,9.965,3.856,-45.415,10.768,3.837,17.48,9.872,3.886,,,,TIMS,1978,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Milos Regional Unit [Περιφερειακή Ενότητα Μήλου],Siphnos,Ayios Sostis,BG 406; From ancient ore dump inside ancient mine II,37.013375,24.713211,Exact/neighbouring,,,Attic-Cycladic Massif,Veins,Pb; Cu; Ag; Au,cerussite,TG 43/10; TG 43/10 (A.SOSTIS 10),Miocene,18.751,15.717,39.004,1.19304692253546,2.481644,0.05333,0.83819,2.0801,146.992,10.102,3.975,38.916,10.723,3.841,170.779,9.995,4.003,,,,TIMS,1977,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Milos Regional Unit [Περιφερειακή Ενότητα Μήλου],Siphnos,Ayios Sostis,BG 407; Mine 1,37.013375,24.713211,Exact/neighbouring,,,Attic-Cycladic Massif,Veins,Pb; Cu; Ag; Au,cerussite; secondary lead mineral,TG 43/12; TG43/12 published TG 55A,Miocene,18.731,15.716,38.986,1.19185249633505,2.480657,0.05339,0.83903,2.08138,159.549,10.102,3.979,50.847,10.716,3.842,183.456,9.996,4.007,120.826,9.829,3.995,TIMS,1977,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Milos Regional Unit [Περιφερειακή Ενότητα Μήλου],Siphnos,Ayios Sostis,BG 413; dump,37.013375,24.713211,Exact/neighbouring,,,Attic-Cycladic Massif,Veins,Pb; Cu; Ag; Au,galena,TG 43/9; TG 43/9 (A.SOSTIS 9); TG43/9 (A.SOSTIS 9) published,Miocene,18.714,15.688,38.915,1.19287614367,2.480558,0.05344,0.83831,2.07945,114.453,9.984,3.943,61.759,10.71,3.843,142.319,9.89,3.972,98.57,9.776,3.968,TIMS,1977,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Milos Regional Unit [Περιφερειακή Ενότητα Μήλου],Siphnos,Ayios Sostis,BG 408; BG 225; Ancient gallery IV/3,37.013375,24.713211,Exact/neighbouring,,,Attic-Cycladic Massif,Veins,Pb; Cu; Ag; Au,cerussite; secondary minerals,TG 43/IV/3; TG 43/IV/3 (A.SOSTIS 26); TG43/IV/3 (A.SOSTIS 26) published,Miocene,18.743,15.709,38.956,1.19311809482903,2.479852,0.05335,0.83814,2.07844,136.476,10.069,3.953,43.906,10.72,3.842,161.376,9.966,3.981,103.792,9.814,3.975,TIMS,1977,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Macedonia and Thrace [Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης],Thasos Regional Unit [Περιφερειακή Ενότητα Θάσου],Thasos,Kalirachi,BG 442,40.695233,24.563274,Exact/neighbouring,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Magmatic carbonate replacement; magmatic-hydrothermal veins,Pb; Zn; Ag,galena,TG 27,Miocene (?),18.80053,15.684,38.94153,1.19871018783789,2.482978,0.05319,0.83423,2.07131,41.824,9.949,3.899,10.286,10.738,3.84,70.437,9.858,3.928,,,,TIMS,1979,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Thira Regional Unit [Περιφερειακή Ενότητα Θήρας],Thera; Santorini,Near cape Athinios,Modern mine; BG 452,36.384463,25.430399,Exact/neighbouring,,,Attic-Cycladic Massif,Epithermal,Pb; Ag,galena,360B,,18.982,15.68634516,38.98656034,1.21009704978339,2.48538202763862,0.052681487725213,0.82638,2.05387,-88.971,9.924,3.808,-98.931,10.797,3.835,-60.415,9.835,3.838,,,,TIMS,1978,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Thira Regional Unit [Περιφερειακή Ενότητα Θήρας],Thera; Santorini,Near cape Athinios,Modern mine; BG 487,36.384463,25.430399,Exact/neighbouring,,,Attic-Cycladic Massif,Epithermal,Pb; Ag,galena,GX; GX published,,18.942,15.677346,38.96464,1.20824019815139,2.48541,0.05279,0.82765,2.05705,-78.566,9.893,3.818,-74.523,10.784,3.836,-48.685,9.807,3.848,,,,TIMS,1977,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Thira Regional Unit [Περιφερειακή Ενότητα Θήρας],Thera; Santorini,Near cape Athinios,Modern mine; BG 490,36.384463,25.430399,Exact/neighbouring,,,Attic-Cycladic Massif,Epithermal,Pb; Ag,galena,PH 91; PH91 published,,18.953,15.681902,38.98841,1.20859066242854,2.486204,0.05276,0.82741,2.05711,-76.874,9.911,3.825,-81.284,10.787,3.835,-47.681,9.823,3.855,,,,TIMS,1977,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Aegean [Αποκεντρωμένη Διοίκηση Αιγαίου],Thira Regional Unit [Περιφερειακή Ενότητα Θήρας],Thera; Santorini,Near cape Athinios,Modern mine; BG 508; BG 489,36.384463,25.430399,Exact/neighbouring,,,Attic-Cycladic Massif,Epithermal,Pb; Ag,galena,PH30; PH30o/1 published,,18.95,15.66407,38.9557,1.20977498185338,2.486947,0.05277,0.8266,2.05571,-113.941,9.836,3.804,-79.007,10.786,3.836,-81.957,9.756,3.834,,,,TIMS,1977,,"Gale, N. H., 1978, Lead Isotopes and Aegean Metallurgy, In Thera and the Aegean world I. Papers presented at the Second International Scientific Congress, Santorini, Greece, August, 1978 (ed. C. Doumas), 529–45, London.",
Greece [Ελλάς],Macedonia and Thrace [Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης],Chalkidiki Regional Unit [Περιφερειακή Ενότητα Χαλκιδικής],Chalkidiki,Madem Lakkos,BG 257,40.518863,23.792967,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Magmatic carbonate replacement,Pb; Zn; Cu; Ag; Au,galena,TG 38 C,Oligocene,18.768,15.65682864,38.86233456,1.19871018783789,2.48213322465028,0.053282182438193,0.83423,2.07067,8.031,9.839,3.869,30.481,10.727,3.841,40.716,9.759,3.899,,,,TIMS,1980,,"Gale, N. H., 1980, Some aspects of lead and silver mining in the Aegean, In Thera and the Aegean World II. Proceedings of the Second International Scientific Congress, Santorini, Greece, August 1978 (ed. C. Doumas), 161–95, Aris and Phillips Ltd., London.",
Greece [Ελλάς],Macedonia and Thrace [Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης],Chalkidiki Regional Unit [Περιφερειακή Ενότητα Χαλκιδικής],Chalkidiki,Olympias,,40.600852,23.748641,Exact,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Magmatic carbonate replacement,Pb; Zn; Cu; Ag; Au,galena,TG 40,Oligocene,18.762,15.66308046,38.8223304,1.19784866379982,2.47858845513458,0.053299221831361,0.83483,2.0692,26.017,9.867,3.855,33.885,10.725,3.841,57.719,9.785,3.885,,,,TIMS,1980,,"Gale, N. H., 1980, Some aspects of lead and silver mining in the Aegean, In Thera and the Aegean World II. Proceedings of the Second International Scientific Congress, Santorini, Greece, August 1978 (ed. C. Doumas), 161–95, Aris and Phillips Ltd., London.",
Greece [Ελλάς],Region of Crete [Αποκεντρωμένη Διοίκηση Κρήτης],Rethymno Regional Unit [Περιφερειακή Ενότητα Ρεθύμνης],Crete,Ano Valsamonero,,35.3014,24.421,Neighbouring (at village),,,,,Pb; Zn; Ag,galena,24,,18.399,15.659389,38.59577,1.17495006462225,2.464705,0.054351,0.8511,2.09771,288.682,9.934,3.976,248.018,10.61,3.852,319.926,9.847,4.005,286.462,9.753,3.998,TIMS,1980,,"Gale, N. H., 1980, Some aspects of lead and silver mining in the Aegean, In Thera and the Aegean World II. Proceedings of the Second International Scientific Congress, Santorini, Greece, August 1978 (ed. C. Doumas), 161–95, Aris and Phillips Ltd., London.",
Greece [Ελλάς],Thessaly and Central Greece [Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδος],Euboea Regional Unit [Περιφερειακή Ενότητα Ευβοίας],Euboea,Vouno,BG 283,38.131419,24.312858,Place holder coordinates (central Euboea; could not locate site),,,Attic-Cycladic Massif,,Pb,galena,TG 56,Miocene,18.827,15.70774264,38.92896444,1.1985808802378,2.4783296576853,0.053115206883731,0.83432,2.06772,72.165,10.045,3.884,-6.206,10.747,3.839,97.337,9.944,3.913,,,,TIMS,1980,,"Gale, N. H., 1980, Some aspects of lead and silver mining in the Aegean, In Thera and the Aegean World II. Proceedings of the Second International Scientific Congress, Santorini, Greece, August 1978 (ed. C. Doumas), 161–95, Aris and Phillips Ltd., London.",
Greece [Ελλάς],Thessaly and Central Greece [Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδος],Euboea Regional Unit [Περιφερειακή Ενότητα Ευβοίας],Euboea,Kallianou,BG 290; BG 288,38.08722,24.466922,Exact/neighbouring,,,Attic-Cycladic Massif,Veins,Fe; Pb; Cu; Ag; Zn; Au; Te,galena,TG 59c,Miocene,18.655,15.6821392,38.85146265,1.18956985154168,2.47743385991625,0.053604931653712,0.84064,2.08263,145.936,9.972,3.947,96.936,10.691,3.844,174.541,9.879,3.976,133.274,9.77,3.972,TIMS,1980,,"Gale, N. H., 1980, Some aspects of lead and silver mining in the Aegean, In Thera and the Aegean World II. Proceedings of the Second International Scientific Congress, Santorini, Greece, August 1978 (ed. C. Doumas), 161–95, Aris and Phillips Ltd., London.",
Greece [Ελλάς],Thessaly and Central Greece [Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδος],Euboea Regional Unit [Περιφερειακή Ενότητα Ευβοίας],Euboea,Kallianou,Salisa mine; BG 291,38.08722,24.466922,Exact/neighbouring,,,Attic-Cycladic Massif,Veins,Fe; Pb; Cu; Ag; Zn; Au; Te,galena,TG 59e,Miocene,18.667,15.67486657,38.83744018,1.19088733014969,2.47768872586965,0.053570471955858,0.83971,2.08054,121.942,9.938,3.929,90.041,10.695,3.844,151.641,9.849,3.958,115.838,9.755,3.958,TIMS,1980,,"Gale, N. H., 1980, Some aspects of lead and silver mining in the Aegean, In Thera and the Aegean World II. Proceedings of the Second International Scientific Congress, Santorini, Greece, August 1978 (ed. C. Doumas), 161–95, Aris and Phillips Ltd., London.",
Greece [Ελλάς],Macedonia and Thrace [Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης],Serres Regional Unit [Περιφερειακή Ενότητα Σερρών],Kilkis,Dafnoudi,BG 332,41.086756,23.754345,Exact/neighbouring,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Magmatic-hydrothermal,Pb; Ag,galena,TG 30,Oligocene-Miocene,18.82,15.74,39.03,1.19568024640579,2.47967,0.053135,0.836344,2.073858,143.575,10.186,3.952,-2.904,10.745,3.839,164.247,10.071,3.98,,,,TIMS,1980,,"Gale, N. H., 1980, Some aspects of lead and silver mining in the Aegean, In Thera and the Aegean World II. Proceedings of the Second International Scientific Congress, Santorini, Greece, August 1978 (ed. C. Doumas), 161–95, Aris and Phillips Ltd., London.",
Greece [Ελλάς],Macedonia and Thrace [Αποκεντρωμένη Διοίκηση Μακεδονίας - Θράκης],Serres Regional Unit [Περιφερειακή Ενότητα Σερρών],Kilkis,Pontokerasia; Pontekerrassia,BG 334; BG 331; Ancient mines?,41.054967,23.203097,Exact/neighbouring,TEMB (Tethyan Eurasian Metallogenic Belt),ABCD (Alpine-Balkan-Carpathian-Dinaride) belt,SMRB (Serbomacedonian-Rhodope Belt),Porphyry copper; Magmatic-hydrothermal veins,Cu; Zn; Sb; Au; Pb; Ag; Pt,galena,TG 34 B; TG4b,Oligocene-Miocene,18.818,15.667302,38.95157,1.20177863237592,2.486169,0.05317,0.8321,2.0665,-7.011,9.874,3.886,0.295,10.743,3.84,24.171,9.79,3.916,,,,TIMS,1980,,"Gale, N. H., 1980, Some aspects of lead and silver mining in the Aegean, In Thera and the Aegean World II. Proceedings of the Second International Scientific Congress, Santorini, Greece, August 1978 (ed. C. Doumas), 161–95, Aris and Phillips Ltd., London.",
